Job post title;Firm name;Firm page;International students
STAGE CURRICULARE PROJECT MANAGEMENT OFFICER ANALYST;A2A Life Company;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=63;TRUE
STAGE HSEQ - HEALTH, SAFETY, ENVIRONMENT & QUALITY;A2A Life Company;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=63;TRUE
STAGE - FINANCIAL PLANNING;A2A Life Company;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=63;TRUE
STAGE CASH MANAGEMENT;A2A Life Company;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=63;TRUE
JUNIOR ANALYST - FINANZA STRAORDINARIA;A2A Life Company;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=63;TRUE
REACT NATIVE - JUNIOR DEVELOPER;A2A Life Company;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=63;TRUE
MIDDLE OFFICE ANALYST;A2A Life Company;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=63;TRUE
SPECIALISTA SISTEMI GIS / DATA ANALYST;A2A Life Company;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=63;TRUE
Sales Rep/Tecnico Commerciale - Area Lombardia;ABS;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=89;FALSE
RMS Specialist - area Lombardia;ABS;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=89;FALSE
Opportunità per laureandi/e e laureati/e;Accenture;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=67;FALSE
Junior Back-end developer;ACUS;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=92;FALSE
Front-end developer;ACUS;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=92;FALSE
Software automation tester;ACUS;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=92;FALSE
PL/SQL developer;ACUS;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=92;FALSE
Junior Salesforce Analyst;ACUS;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=92;FALSE
Junior Business Analyst;ACUS;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=92;FALSE
IT service desk - categoria protetta art 18;ACUS;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=92;FALSE
Neolaureato Praticante;ADVANT Nctm;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=88;TRUE
Studente di Giurisprudenza;ADVANT Nctm;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=88;TRUE
Controllo di Gestione;AIM GROUP INTERNATIONAL;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=82;FALSE
Stage Organizzazione Congressi - Project Assistant;AIM GROUP INTERNATIONAL;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=82;FALSE
Sport Events - stage;AIM GROUP INTERNATIONAL;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=82;FALSE
Segreteria operativa Eventi - Stage;AIM GROUP INTERNATIONAL;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=82;FALSE
Graphic Design;AIM GROUP INTERNATIONAL;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=82;FALSE
Area Manager (m/f/x) - Nord-Est;ALDI;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=124;FALSE
Impiegato Vendite (m/f/x) - Back Office - Landriano (PV);ALDI;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=124;FALSE
Impiegato Store Operation (m/f/x) - Back Office - Landriano (PV);ALDI;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=124;FALSE
Assistente Direzione (m/f/x) - Customer Interaction - Verona (VR);ALDI;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=124;FALSE
Data Entry Digital Marketing (m/f/x);ALDI;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=124;FALSE
Digital Marketing & CRM Specialist (m/f/x);ALDI;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=124;FALSE
Buying Specialist (m/f/x) - Food - Verona (VR);ALDI;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=124;FALSE
Global Buying Manager (m/f/x) - Prodotti surgelati - Austria;ALDI;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=124;FALSE
IT Consultant (m/f/x) - Store Infrastructure - Verona (VR);ALDI;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=124;FALSE
IT Junior/Senior Consultant (m/f/x) - Verona (VR);ALDI;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=124;FALSE
Junior IT (m/f/x) - Stores - Verona (VR);ALDI;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=124;FALSE
Junior IT Consultant (m/f/x) - Store Infrastructure - Verona (VR);ALDI;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=124;FALSE
Impiegato Acquisti (m/f/x) - Data Maintenance - Verona (VR);ALDI;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=124;FALSE
Impiegato Amministrativo (m/f/x) - Landriano (PV);ALDI;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=124;FALSE
Impiegato Facility Management (m/f/x) - Landriano (PV);ALDI;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=124;FALSE
Impiegato Back Office (m/f/x) - Verona (VR) | Categorie Protette (Legge 68/99);ALDI;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=124;FALSE
Impiegato Compliance (m/f/x) - Verona (VR);ALDI;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=124;FALSE
Impiegato Contabilità (m/f/x) - Fatturazione passiva - Verona (VR);ALDI;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=124;FALSE
Impiegato Contabilità (m/f/x) - Fatturazione passiva - Verona (VR) | Categorie Protette (Legge 68/99);ALDI;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=124;FALSE
Impiegato Back Office (m/f/x) - Logistics & Services - Landriano (PV);ALDI;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=124;FALSE
Digital Marketing Specialist (m/f/x);ALDI;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=124;FALSE
Stagiaire Dipartimento ICM - Financial Regulatory;Allen & Overy;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=85;TRUE
Stagiaire Litigation;Allen & Overy;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=85;TRUE
Stagiaire Dipartimento ICM - Transactional;Allen & Overy;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=85;TRUE
Stagiaire Team Labour;Allen & Overy;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=85;TRUE
Software developer Junior - Italia;ALTEN Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=151;FALSE
Functional Analyst and Tester Junior - Italia;ALTEN Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=151;FALSE
Software Tester - Italia;ALTEN Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=151;FALSE
Technical and Functional Analyst - Italia;ALTEN Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=151;FALSE
PMO - Italia;ALTEN Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=151;FALSE
PMO Junior - Italia;ALTEN Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=151;FALSE
PM - Italia;ALTEN Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=151;FALSE
Junior Project Manager (Telecomunicazione) - Italia;ALTEN Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=151;FALSE
DevOps (Telecomunication) - Italia;ALTEN Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=151;FALSE
Junior C/C++ Developer - Italia;ALTEN Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=151;FALSE
Junior Business Development Manager;ALTEN Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=151;FALSE
Junior HSE (Health, Safety and Environment);ALTEN Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=151;FALSE
Accounting;ALTEN Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=151;FALSE
Junior C/C++ Developer (AUTOMOTIVE) - Italia;ALTEN Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=151;FALSE
Internal Communication Specialist;Altroconsumo;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=27;TRUE
Web Editor;Altroconsumo;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=27;TRUE
Project Officer Junior;Altroconsumo;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=27;TRUE
Stage Quality Assurance;Angelini Pharma;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=134;TRUE
Stage Global Business Excellence;Angelini Pharma;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=134;TRUE
Stage Regulatory Affairs;Angelini Pharma;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=134;TRUE
Stage Trade Marketing;Angelini Pharma;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=134;TRUE
Stage International Demand;Angelini Pharma;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=134;TRUE
Stage Quality Assurance;Angelini Pharma;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=134;TRUE
Stage Marketing Consumer Healthcare;Angelini Pharma;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=134;TRUE
Internship Rotazionale per Medici Veterinari (Novara);AniCura;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=128;FALSE
Medico Veterinario per Internship Rotazionale - Clinica Borghesiana (Roma);AniCura;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=128;FALSE
Medici Veterinari per Internship Rotazionale (Milano);AniCura;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=128;FALSE
Medico Veterinario per Internship Rotazionale (Malpensa);AniCura;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=128;FALSE
Internship Rotazionale per Medici Veterinari (Novara);Aon;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=51;FALSE
Medico Veterinario per Internship Rotazionale - Clinica Borghesiana (Roma);Aon;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=51;FALSE
Medici Veterinari per Internship Rotazionale (Milano);Aon;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=51;FALSE
Medico Veterinario per Internship Rotazionale (Malpensa);Aon;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=51;FALSE
HR Talent Acquisition Internship;ARCAPLANET;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=14;FALSE
Stage area contabilità;ARCAPLANET;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=14;FALSE
Veterinario;ARCAPLANET;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=14;FALSE
Junior Product Marketing Specialist – Private label;ARCAPLANET;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=14;FALSE
Content Assistant;ARCAPLANET;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=14;FALSE
Customer Engagement - stage;AstraZeneca;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=7;FALSE
stage Marketing area Vaccini;AstraZeneca;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=7;FALSE
stage Marketing area Respiratory&Immunology;AstraZeneca;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=7;FALSE
stare HR ambito Reward;AstraZeneca;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=7;FALSE
Junior PM;ATM;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=8;FALSE
Business Analyst;ATM;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=8;FALSE
STAGE SUPERVISIONE E CONTROLLO LINEE METRO;ATM;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=8;FALSE
STAGE JUNIOR IT PROJECT MANAGER;ATM;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=8;FALSE
Junior PM;Banca Mediolanum;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=129;FALSE
Business Analyst;Banca Mediolanum;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=129;FALSE
STAGE SUPERVISIONE E CONTROLLO LINEE METRO;Banca Mediolanum;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=129;FALSE
STAGE JUNIOR IT PROJECT MANAGER;Banca Mediolanum;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=129;FALSE
QUALITY PROJECT MANAGEMENT INTERNSHIP;Bayer;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=136;TRUE
Marketing Communication Internship;Bayer;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=136;TRUE
Quality Assurance Systems Internship;Bayer;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=136;TRUE
Assistant Auditor;BDO;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=106;TRUE
Junior Assistant - Risk & Compliance (Quality);BDO;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=106;TRUE
Consultant - TAX VAT;BDO;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=106;TRUE
Assistant Risk & Compliance;BDO;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=106;TRUE
Tirocinio Specialistico in Medicina d'Urgenza Strutture BluVet;BluVet;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=28;TRUE
Tirocinio Rotazionale Strutture BluVet;BluVet;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=28;TRUE
Stagisti - Milano/Roma/Genova/Londra/Bruxelles;BonelliErede;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=115;TRUE
Praticanti Avvocati - Milano/Roma/Genova/Londra/Bruxelles;BonelliErede;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=115;TRUE
Stage - Back Office Certificazioni Support;Bureau Veritas Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=84;TRUE
Stage – Back Office Procurement & Site;Bureau Veritas Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=84;TRUE
Stage – Supporto Componenti e Sistemi Automotive (Regolamenti UNECE) - CPS;Bureau Veritas Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=84;TRUE
Stage – Comitato Tecnico QHSE;Bureau Veritas Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=84;TRUE
Stage - Inside Sales;Bureau Veritas Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=84;TRUE
Stage - Financial Controller Support – Central South-East Europe Region;Bureau Veritas Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=84;TRUE
Stage - Supporto tecnico Ufficio Gare;Bureau Veritas Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=84;TRUE
Stage - Training Support;Bureau Veritas Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=84;TRUE
Stage - Back Office Certificazioni Support;Calzedonia Group;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=16;FALSE
Stage – Back Office Procurement & Site;Calzedonia Group;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=16;FALSE
Stage – Supporto Componenti e Sistemi Automotive (Regolamenti UNECE) - CPS;Calzedonia Group;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=16;FALSE
Stage – Comitato Tecnico QHSE;Calzedonia Group;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=16;FALSE
Stage - Inside Sales;Calzedonia Group;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=16;FALSE
Stage - Financial Controller Support – Central South-East Europe Region;Calzedonia Group;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=16;FALSE
Stage - Supporto tecnico Ufficio Gare;Calzedonia Group;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=16;FALSE
Stage - Training Support;Calzedonia Group;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=16;FALSE
Stage Category-Buyer;Carrefour Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=10;FALSE
Stage - Intelligent Process Automation;Carrefour Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=10;FALSE
Stage - Contabilità e Bilancio Consolidato;Carrefour Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=10;FALSE
Supervisore di Produzione - Stage;Chiesi Farmaceutici;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=135;FALSE
Tecnologo di Processo - Stage;Chiesi Farmaceutici;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=135;FALSE
In Vitro Pharmacology Lab Technician - Intern;Chiesi Farmaceutici;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=135;FALSE
Global Rewards Intern;Chiesi Farmaceutici;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=135;FALSE
Group HR Analytics & HRIS Intern;Chiesi Farmaceutici;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=135;FALSE
Trainee / Junior Associate - Privacy e Cybersecurity Milano;CHIOMENTI;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=39;FALSE
Junior Associate - M&A | Milano/Roma;CHIOMENTI;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=39;FALSE
Trainee/ Junior Associate - Finance | Roma;CHIOMENTI;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=39;FALSE
Trainee / Junior Associate - Tax;CHIOMENTI;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=39;FALSE
Trainee / Junior Associate - Privacy e Cybersecurity Milano;CIRFOOD;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=17;FALSE
Junior Associate - M&A | Milano/Roma;CIRFOOD;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=17;FALSE
Trainee/ Junior Associate - Finance | Roma;CIRFOOD;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=17;FALSE
Trainee / Junior Associate - Tax;CIRFOOD;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=17;FALSE
Receptionist (M/F);Club Med;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=62;TRUE
FARMACISTA;COOP LOMBARDIA;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=97;FALSE
ALLIEVA/O RESPONSABILE DI NEGOZIO;COOP LOMBARDIA;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=97;FALSE
REVISORI JUNIOR - TALENT PROGRAM DELOITTE;Deloitte;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=130;FALSE
Junior Tax Advisor;Deloitte;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=130;FALSE
Stage Corporate and M&A;Deloitte;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=130;FALSE
Stage Public & Administrative Law;Deloitte;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=130;FALSE
Stage Corporate Compliance;Deloitte;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=130;FALSE
Stage Data Protection;Deloitte;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=130;FALSE
Trainee Corporate Compliance;Deloitte;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=130;FALSE
Trainee Financial Services Regulatory;Deloitte;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=130;FALSE
Trainee Corporate and M&A;Deloitte;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=130;FALSE
